,ht,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,win_ratio,top_25_reached
Denis Istomin,188.0,8.0,3.0,83.0,53.0,31.0,11.0,12.0,5.0,11.0,0.4104990833464628,0.0
Damir Dzumhur,172.0,1.9791666666666667,1.9791666666666667,70.66666666666667,44.895833333333336,28.9375,12.895833333333334,10.958333333333334,4.229166666666667,7.541666666666667,0.5346326501899555,1.0
Tallon Griekspoor,188.0,4.387755102040816,2.6122448979591835,72.40816326530613,44.69387755102041,30.693877551020407,13.89795918367347,11.081632653061224,4.448979591836735,7.1020408163265305,0.9916528928788632,1.0
Juan Martin del Potro,198.0,1.6666666666666667,2.6666666666666665,75.75,56.666666666666664,33.25,9.333333333333334,11.25,4.166666666666667,8.0,0.623080064109126,1.0
Steve Johnson,188.0,7.361702127659575,3.5106382978723403,79.61702127659575,49.04255319148936,35.702127659574465,16.27659574468085,12.297872340425531,4.191489361702128,6.25531914893617,1.2077452012907817,1.0
Adrian Mannarino,183.0,3.8,1.8,70.0,42.2,28.6,15.4,10.8,2.8,5.0,0.7796533822049224,1.0
Lloyd Harris,193.0,8.795918367346939,2.673469387755102,72.79591836734694,41.83673469387755,31.73469387755102,14.83673469387755,11.387755102040817,3.8979591836734695,6.36734693877551,0.5062410408649871,0.0
Lukas Lacko,185.0,5.0,5.0,108.0,64.0,42.0,24.0,17.0,9.0,14.0,0.5950782305949489,0.0
Sergiy Stakhovsky,193.0,6.8,1.8,54.8,37.8,25.2,8.6,9.2,3.0,5.8,0.9604719420223856,0.0
Matthias Bachinger,188.0,10.0,2.5,106.5,59.0,40.0,25.5,15.5,4.5,8.5,0.5258771239801832,0.0
Hubert Hurkacz,196.0,6.04,4.36,72.04,44.04,31.76,13.06,11.18,3.94,6.5,0.7677406692787815,1.0
Gregoire Barrere,183.0,5.270833333333333,2.9791666666666665,75.3125,46.125,32.041666666666664,14.4375,11.875,4.0,6.979166666666667,0.6229260373581987,0.0
Felix Auger Aliassime,193.0,5.1875,3.875,73.08333333333333,45.75,33.083333333333336,12.9375,11.458333333333334,3.4791666666666665,5.979166666666667,0.9264161168019142,1.0
Casper Ruud,183.0,3.466666666666667,2.577777777777778,73.97777777777777,47.955555555555556,33.13333333333333,13.377777777777778,11.355555555555556,4.333333333333333,6.666666666666667,0.8272374994935769,1.0
Hugo Dellien,180.0,1.36,2.52,72.48,50.56,31.96,10.16,10.76,4.28,7.72,0.5603240896680979,0.0
Thiago Monteiro,183.0,2.3,2.26,72.14,46.38,30.12,12.1,11.06,4.7,8.18,0.5807789955028791,0.0
Feliciano Lopez,188.0,5.571428571428571,2.857142857142857,84.28571428571429,50.714285714285715,33.285714285714285,16.0,13.0,4.142857142857143,8.142857142857142,0.7078362753910818,1.0
Egor Gerasimov,196.0,4.9,3.7,74.22,47.82,33.24,11.68,11.56,3.86,7.0,0.5647362304134043,0.0
Marco Trungelliti,178.0,4.583333333333333,3.7916666666666665,78.04166666666667,42.354166666666664,28.979166666666668,17.229166666666668,11.625,4.729166666666667,7.9375,0.6669681670385218,0.0
Thiago Seyboth Wild,185.0,4.84,3.16,75.56,44.8,31.1,15.56,12.02,3.68,6.72,0.7200684266589432,0.0
Kyle Edmund,188.0,3.6382978723404253,2.574468085106383,68.46808510638297,42.744680851063826,29.914893617021278,13.361702127659575,11.042553191489361,3.574468085106383,5.914893617021277,0.8948815838360538,1.0
Prajnesh Gunneswaran,188.0,4.5,2.5,70.66666666666667,46.3125,31.666666666666668,12.125,10.854166666666666,4.416666666666667,6.916666666666667,0.5486659664514637,0.0
Marcos Giron,180.0,4.020408163265306,3.6122448979591835,75.71428571428571,47.36734693877551,33.244897959183675,13.795918367346939,11.775510204081632,3.836734693877551,6.653061224489796,0.7887379344941208,0.0
Bjorn Fratangelo,183.0,2.306122448979592,2.857142857142857,69.95918367346938,42.265306122448976,28.653061224489797,12.83673469387755,10.653061224489797,4.0,7.040816326530612,0.47699119945204005,0.0
Jared Donaldson,188.0,4.28,3.02,69.08,34.86,25.12,18.1,10.9,3.18,5.68,0.8592565541907894,0.0
Janko Tipsarevic,180.0,,,,,,,,,,0.6062559852521994,1.0
Mischa Zverev,190.0,6.833333333333333,1.3333333333333333,78.33333333333333,55.833333333333336,40.5,10.666666666666666,12.833333333333334,3.6666666666666665,6.166666666666667,0.990093521437666,0.0
Alexander Bublik,196.0,7.953488372093023,5.3023255813953485,76.95348837209302,42.41860465116279,31.27906976744186,15.906976744186046,11.674418604651162,3.9767441860465116,6.837209302325581,1.6704594043930863,0.0
Pablo Andujar,180.0,0.0,0.0,62.0,46.0,28.0,6.0,10.0,1.0,5.0,0.7044994911218287,0.0
Daniel Elahi Galan,191.0,4.630434782608695,2.4347826086956523,72.71739130434783,43.23913043478261,31.0,14.73913043478261,11.26086956521739,4.391304347826087,6.891304347826087,0.37173491326010016,0.0
Santiago Giraldo,188.0,1.0,2.0,67.0,38.0,24.0,14.0,10.0,4.0,7.0,0.7932570244950954,0.0
Adrian Menendez Maceiras,185.0,,,,,,,,,,0.5376859746988023,0.0
Nicola Kuhn,185.0,2.3958333333333335,2.1458333333333335,73.45833333333333,47.166666666666664,30.375,13.791666666666666,11.083333333333334,3.9583333333333335,6.8125,1.1486124741936992,0.0
Attila Balazs,180.0,1.9743589743589745,3.6666666666666665,67.82051282051282,39.30769230769231,25.53846153846154,14.076923076923077,10.307692307692308,4.3076923076923075,7.487179487179487,0.44621385632137106,0.0
Jannik Sinner,188.0,4.74,2.9,73.66,40.94,28.6,16.3,10.74,3.48,6.44,0.9842884985712491,1.0
Alejandro Davidovich Fokina,183.0,1.7291666666666667,2.4166666666666665,68.27083333333333,44.645833333333336,29.5,12.208333333333334,10.791666666666666,3.7083333333333335,6.479166666666667,0.9644966330624977,1.0
Joao Domingues,178.0,1.125,1.7916666666666667,70.125,46.291666666666664,29.583333333333332,11.0625,10.6875,3.7708333333333335,7.145833333333333,0.49819480931052046,0.0
Rudolf Molleker,185.0,6.12,3.8,77.16,44.82,31.18,16.58,11.9,3.98,6.68,1.1326530982372123,0.0
Richard Gasquet,185.0,2.5,4.214285714285714,78.78571428571429,44.5,29.214285714285715,15.428571428571429,12.142857142857142,4.928571428571429,9.214285714285714,0.7474919629403333,1.0
Tristan Lamasine,183.0,3.2916666666666665,2.7083333333333335,72.89583333333333,47.125,30.0625,12.833333333333334,11.104166666666666,4.9375,8.25,0.45817684860249563,0.0
Steven Diez,180.0,1.8444444444444446,3.933333333333333,70.55555555555556,40.577777777777776,26.0,13.911111111111111,10.688888888888888,4.111111111111111,8.022222222222222,0.5248373655649635,0.0
Corentin Moutet,178.0,1.530612244897959,3.5918367346938775,71.75510204081633,47.38775510204081,30.3265306122449,12.224489795918368,10.959183673469388,4.510204081632653,7.73469387755102,1.0204812440826942,0.0
Salvatore Caruso,185.0,2.326530612244898,1.7959183673469388,70.24489795918367,41.61224489795919,26.6734693877551,14.122448979591837,10.46938775510204,4.346938775510204,7.571428571428571,0.6492665835548995,0.0
Elliot Benchetrit,193.0,3.66,2.6,69.9,40.96,27.44,14.16,10.64,4.16,7.12,0.7429112170508204,0.0
Mikael Ymer,183.0,1.3061224489795917,3.163265306122449,75.3061224489796,49.12244897959184,31.244897959183675,12.10204081632653,11.16326530612245,4.836734693877551,8.36734693877551,1.1521479127794452,0.0
Nicolas Mahut,190.0,7.5,3.375,89.125,54.25,37.625,16.875,13.875,4.875,8.375,0.8969045660483378,0.0
Oscar Otte,196.0,4.5227272727272725,3.5454545454545454,64.27272727272727,39.93181818181818,29.431818181818183,11.886363636363637,10.272727272727273,3.159090909090909,5.136363636363637,0.8333158156214845,0.0
Dustin Brown,196.0,18.0,7.0,115.0,58.0,50.0,22.0,15.0,7.0,10.0,0.6195074819721172,0.0
Bradley Klahn,190.0,3.847826086956522,3.217391304347826,75.54347826086956,47.91304347826087,32.84782608695652,14.26086956521739,11.652173913043478,4.1521739130434785,6.913043478260869,1.648334131748783,0.0
Altug Celikbilek,183.0,4.84,4.12,68.42,39.3,27.06,13.66,10.5,3.54,6.44,0.5015172355994153,0.0
Kevin Krawietz,190.0,3.163265306122449,3.693877551020408,71.44897959183673,41.57142857142857,27.653061224489797,14.020408163265307,10.612244897959183,4.061224489795919,7.346938775510204,0.5215266793641676,0.0
Dominik Koepfer,180.0,3.24,4.56,71.7,43.34,28.74,14.54,11.06,4.1,7.06,0.6046455773095161,0.0
Jay Clarke,183.0,3.1818181818181817,3.0454545454545454,70.79545454545455,41.18181818181818,28.272727272727273,15.454545454545455,11.022727272727273,3.5681818181818183,6.2272727272727275,0.5878067931244512,0.0
Elias Ymer,183.0,3.64,2.72,72.98,42.1,28.84,13.96,11.1,4.5,7.78,0.6798879770841652,0.0
